pais,torneo,fecha,dia,local,visitante,goles_local,goles_visitante
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,palmeiras-A,porto-A,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,al_ahly-A,inter_miami-A,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,paris_saint_germain-B,atletico_madrid-B,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,botafogo-B,seattle_sounders-B,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,bayern_munich-C,auckland_city-C,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,boca_juniors-C,benfica-C,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,flamengo-D,esperence_de_tunis-D,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,chelsea-D,lafc-D,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,river_plate-E,urawa_red_diamonds-E,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,monterrey-E,inter_milan-E,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,fluminense-F,borussia_dortmund-F,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,ulsan_hyundai-F,mamelodi_sundowns-F,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,manchester_city-G,wydad_ac-G,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,al_ain-G,juventus-G,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,real_madrid-H,al_hilal-H,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 1,Jun 15 2025,pachuca-H,red_bull_salzburg-H,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,palmeiras-A,al_ahly-A,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,porto-A,inter_miami-A,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,paris_saint_germain-B,botafogo-B,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,atletico_madrid-B,seattle_sounders-B,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,bayern_munich-C,boca_juniors-C,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,auckland_city-C,benfica-C,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,flamengo-D,chelsea-D,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,esperence_de_tunis-D,lafc-D,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,river_plate-E,monterrey-E,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,urawa_red_diamonds-E,inter_milan-E,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,fluminense-F,ulsan_hyundai-F,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,borussia_dortmund-F,mamelodi_sundowns-F,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,manchester_city-G,al_ain-G,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,wydad_ac-G,juventus-G,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,real_madrid-H,pachuca-H,0,0
clubworldcup2025,Torneo ClubWorldCup 2025,Fecha 2,Jun 19 2025,al_hilal-H,red_bull_salzburg-H,0,0
